,Year,mark,Mileage,Model,Price,Maximum_power,Volume,Engine_volume
0,2020.0,Mercedes-Benz ,0.0,G-Class ,12902800.0,249.0,2.9,2925.0
1,2020.0,Mercedes-Benz ,0.0,G-Class ,15709500.0,330.0,2.9,2925.0
2,2019.0,Mercedes-Benz ,15500.0,G-Class ,13890000.0,422.0,4.0,3982.0
3,2020.0,Mercedes-Benz ,0.0,G-Class ,13116000.0,422.0,4.0,3982.0
4,2019.0,Mercedes-Benz ,15297.0,G-Class ,11450000.0,422.0,4.0,3982.0
5,2020.0,Mercedes-Benz ,0.0,G-Class ,14599000.0,330.0,2.9,2925.0
6,2020.0,Mercedes-Benz ,32.0,G-Class ,11898000.0,249.0,2.9,2925.0
7,2020.0,Mercedes-Benz ,0.0,G-Class ,15145200.0,249.0,2.9,2925.0
8,2020.0,Mercedes-Benz ,0.0,G-Class ,18545400.0,422.0,4.0,3982.0
9,2020.0,Mercedes-Benz ,33.0,G-Class ,11798000.0,249.0,2.9,2925.0
10,2020.0,Mercedes-Benz ,0.0,G-Class ,13500000.0,249.0,2.9,2925.0
11,2020.0,Mercedes-Benz ,119.0,G-Class ,15048000.0,422.0,4.0,3982.0
12,2020.0,Mercedes-Benz ,0.0,GLC ,3470400.0,197.0,2.0,1991.0
13,2020.0,Mercedes-Benz ,4300.0,GLC ,3590000.0,197.0,2.0,1991.0
14,2020.0,Mercedes-Benz ,0.0,GLC ,3516000.0,194.0,2.0,1950.0
15,2020.0,Mercedes-Benz ,0.0,GLC ,3278420.0,194.0,2.0,1950.0
16,2020.0,Mercedes-Benz ,0.0,GLC ,4096215.0,245.0,2.0,1950.0
17,2020.0,Mercedes-Benz ,2580.0,GLC ,4029000.0,249.0,2.0,1991.0
18,2020.0,Mercedes-Benz ,0.0,GLC ,4424630.0,194.0,2.0,1950.0
19,2020.0,Mercedes-Benz ,0.0,GLC ,4311800.0,194.0,2.0,1950.0
20,2019.0,Mercedes-Benz ,,GLC ,3399000.0,194.0,2.0,1950.0
21,2020.0,Mercedes-Benz ,0.0,GLC ,3675120.0,194.0,2.0,1950.0
22,2019.0,Mercedes-Benz ,30013.0,GLC ,3299000.0,194.0,2.0,1950.0
23,2020.0,Mercedes-Benz ,0.0,GLC ,3660260.0,194.0,2.0,1950.0
24,2019.0,Mercedes-Benz ,34800.0,GLC ,3399000.0,194.0,2.0,1950.0
25,2020.0,Mercedes-Benz ,0.0,GLC ,4976800.0,249.0,2.0,1991.0
26,2020.0,Mercedes-Benz ,0.0,GLC ,3717224.0,194.0,2.0,1950.0
27,2020.0,Mercedes-Benz ,0.0,GLE ,5996000.0,245.0,2.0,1950.0
28,2020.0,Mercedes-Benz ,2800.0,GLE ,6035000.0,245.0,2.0,1950.0
29,2020.0,Mercedes-Benz ,0.0,GLE ,6676685.0,330.0,2.9,2925.0
30,2019.0,Mercedes-Benz ,21000.0,GLE ,5850000.0,367.0,3.0,2999.0
31,2020.0,Mercedes-Benz ,0.0,GLE ,7190000.0,330.0,2.9,2925.0
32,2019.0,Mercedes-Benz ,12130.0,GLE ,5447000.0,245.0,2.0,1950.0
33,2020.0,Mercedes-Benz ,0.0,GLE ,7667040.0,330.0,2.9,2925.0
34,2020.0,Mercedes-Benz ,0.0,GLE ,6502000.0,367.0,3.0,2999.0
35,2020.0,Mercedes-Benz ,0.0,GLE ,7030900.0,330.0,2.9,2925.0
36,2019.0,Mercedes-Benz ,17384.0,GLE ,5778000.0,330.0,2.9,2925.0
37,2020.0,Mercedes-Benz ,0.0,GLE ,6644700.0,367.0,3.0,2999.0
38,2019.0,Mercedes-Benz ,43455.0,GLE ,5399000.0,330.0,2.9,2925.0
39,2020.0,Mercedes-Benz ,,GLE ,5350000.0,245.0,2.0,1950.0
40,2020.0,Mercedes-Benz ,,GLE Coupe ,7925800.0,249.0,2.9,2925.0
41,2020.0,Mercedes-Benz ,0.0,GLE Coupe ,7450000.0,249.0,2.9,2925.0
42,2020.0,Mercedes-Benz ,9.0,GLE Coupe ,6997000.0,330.0,2.9,2925.0
43,2020.0,Mercedes-Benz ,0.0,GLE Coupe ,8772960.0,330.0,2.9,2925.0
44,2020.0,Mercedes-Benz ,0.0,GLE Coupe ,8099000.0,330.0,2.9,2925.0
45,2020.0,Mercedes-Benz ,,GLE Coupe ,8097000.0,249.0,2.9,2925.0
46,2020.0,Mercedes-Benz ,0.0,GLE Coupe ,8128200.0,249.0,2.9,2925.0
47,2020.0,Mercedes-Benz ,1900.0,GLE Coupe ,7450000.0,249.0,2.9,2925.0
48,2020.0,Mercedes-Benz ,0.0,GLE Coupe ,8050000.0,367.0,3.0,2999.0
49,2020.0,Mercedes-Benz ,17.0,GLE Coupe ,7400000.0,249.0,2.9,2925.0
50,2020.0,Mercedes-Benz ,0.0,GLE Coupe ,8158200.0,249.0,2.9,2925.0
51,2020.0,Mercedes-Benz ,0.0,GLE Coupe ,8517000.0,249.0,2.9,2925.0
52,2019.0,Mercedes-Benz ,14200.0,G-Class AMG ,18350000.0,585.0,4.0,3982.0
53,2020.0,Mercedes-Benz ,0.0,G-Class AMG ,19300000.0,585.0,4.0,3982.0
54,2020.0,Mercedes-Benz ,0.0,G-Class AMG ,21328900.0,585.0,4.0,3982.0
55,2020.0,Mercedes-Benz ,8000.0,G-Class AMG ,20000000.0,585.0,4.0,3982.0
56,2020.0,Mercedes-Benz ,0.0,G-Class AMG ,28300000.0,585.0,4.0,3982.0
57,2020.0,Mercedes-Benz ,11100.0,G-Class AMG ,16900000.0,585.0,4.0,3982.0
58,2020.0,Mercedes-Benz ,0.0,G-Class AMG ,28900000.0,585.0,4.0,3982.0
59,2018.0,Mercedes-Benz ,12735.0,G-Class AMG ,17400000.0,585.0,4.0,3982.0
60,2020.0,Mercedes-Benz ,0.0,G-Class AMG ,22345600.0,585.0,4.0,3982.0
61,2020.0,Mercedes-Benz ,21.0,G-Class AMG ,18300000.0,585.0,4.0,3982.0
62,2020.0,Mercedes-Benz ,0.0,G-Class AMG ,23777872.0,585.0,4.0,3982.0
63,2020.0,Mercedes-Benz ,0.0,G-Class AMG ,22470800.0,585.0,4.0,3982.0
64,2019.0,Mercedes-Benz ,28000.0,G-Class AMG ,17300000.0,585.0,4.0,3982.0
65,2020.0,Mitsubishi ,0.0,Outlander ,1584000.0,146.0,2.0,1998.0
66,2020.0,Mitsubishi ,0.0,Outlander ,1519000.0,146.0,2.0,1998.0
67,2020.0,Mitsubishi ,0.0,Outlander ,1830000.0,146.0,2.0,1998.0
68,2018.0,Mitsubishi ,43538.0,Outlander ,1500000.0,146.0,2.0,1998.0
69,2020.0,Mitsubishi ,0.0,Outlander ,1206000.0,146.0,2.0,1998.0
70,2020.0,Mitsubishi ,0.0,Outlander ,1205800.0,146.0,2.0,1998.0
71,2018.0,Mitsubishi ,35049.0,Outlander ,1749000.0,167.0,2.4,2360.0
72,2020.0,Mitsubishi ,0.0,Outlander ,1205800.0,146.0,2.0,1998.0
73,2020.0,Mitsubishi ,0.0,Outlander ,1205800.0,146.0,2.0,1998.0
74,2019.0,Mitsubishi ,12123.0,Outlander ,1976000.0,146.0,2.0,1998.0
75,2020.0,Mitsubishi ,0.0,Outlander ,1655500.0,146.0,2.0,1998.0
76,2020.0,Mitsubishi ,0.0,Outlander ,1610500.0,146.0,2.0,1998.0
77,2020.0,Mitsubishi ,0.0,Outlander ,1950000.0,167.0,2.4,2360.0
78,2020.0,Mitsubishi ,0.0,Outlander ,1216500.0,146.0,2.0,1998.0
79,2018.0,Mitsubishi ,15678.0,Outlander ,1895000.0,146.0,2.0,1998.0
80,2020.0,Mitsubishi ,,Outlander ,1200000.0,146.0,2.0,1998.0
81,2020.0,Mitsubishi ,0.0,Outlander ,1410000.0,146.0,2.0,1998.0
82,2020.0,Mitsubishi ,0.0,Outlander ,1205800.0,146.0,2.0,1998.0
83,2020.0,Mitsubishi ,0.0,Outlander ,1209000.0,146.0,2.0,1998.0
84,2020.0,Mitsubishi ,0.0,Outlander ,1715000.0,146.0,2.0,1998.0
85,2020.0,Mitsubishi ,0.0,Outlander ,1230000.0,146.0,2.0,1998.0
86,2020.0,Audi ,,Q7 ,6199000.0,249.0,3.0,2967.0
87,2020.0,Audi ,0.0,Q7 ,5490000.0,249.0,3.0,2967.0
88,2020.0,Audi ,0.0,Q7 ,5490000.0,249.0,3.0,2967.0
89,2019.0,Audi ,13000.0,Q7 ,6975000.0,249.0,3.0,2967.0
90,2020.0,Audi ,0.0,Q7 ,5490000.0,249.0,3.0,2967.0
91,2020.0,Audi ,0.0,Q7 ,5490000.0,249.0,3.0,2967.0
92,2020.0,Audi ,0.0,Q7 ,5971500.0,249.0,3.0,2967.0
93,2020.0,Audi ,0.0,Q7 ,8100000.0,249.0,3.0,2967.0
94,2020.0,Audi ,1725.0,Q7 ,5799000.0,249.0,3.0,2967.0
95,2020.0,Audi ,0.0,Q7 ,6549000.0,249.0,3.0,2967.0
96,2020.0,Audi ,0.0,Q7 ,5631580.0,249.0,3.0,2967.0
97,2020.0,Audi ,5248.0,Q7 ,6050000.0,249.0,3.0,2967.0
98,2020.0,Audi ,0.0,Q7 ,6081582.0,249.0,3.0,2967.0
99,2020.0,Audi ,0.0,Q7 ,6591000.0,249.0,3.0,2967.0
100,2019.0,Audi ,13400.0,Q7 ,6200000.0,249.0,3.0,2967.0
101,2020.0,Audi ,500.0,Q7 ,6799000.0,249.0,3.0,2967.0
102,2020.0,Volkswagen ,0.0,Multivan ,4973000.0,199.0,2.0,1968.0
103,2020.0,Volkswagen ,0.0,Multivan ,4742300.0,150.0,2.0,1968.0
104,2020.0,Volkswagen ,69.0,Multivan ,5325000.0,199.0,2.0,1968.0
105,2020.0,Volkswagen ,0.0,Multivan ,4651800.0,150.0,2.0,1968.0
106,2020.0,Volkswagen ,0.0,Multivan ,5284000.0,150.0,2.0,1968.0
107,2020.0,Volkswagen ,0.0,Multivan ,4403400.0,150.0,2.0,1968.0
108,2020.0,Volkswagen ,,Multivan ,3707700.0,150.0,2.0,1968.0
109,2020.0,Volkswagen ,0.0,Multivan ,5444600.0,150.0,2.0,1968.0
110,2020.0,Volkswagen ,0.0,Multivan ,5335000.0,150.0,2.0,1968.0
111,2020.0,Volkswagen ,0.0,Multivan ,5760000.0,150.0,2.0,1968.0
112,2020.0,Volkswagen ,0.0,Multivan ,6233700.0,199.0,2.0,1968.0
113,2020.0,Volkswagen ,0.0,Multivan ,6270900.0,199.0,2.0,1968.0
114,2020.0,Volkswagen ,0.0,Multivan ,5944500.0,199.0,2.0,1968.0
115,2020.0,Volkswagen ,0.0,Multivan ,6491200.0,199.0,2.0,1968.0
116,2020.0,Volkswagen ,0.0,Multivan ,6449200.0,199.0,2.0,1968.0
117,2020.0,Jaguar ,0.0,F-Pace ,5260000.0,249.0,2.0,1997.0
118,2017.0,Jaguar ,95344.0,F-Pace ,2415000.0,180.0,2.0,1999.0
119,2016.0,Jaguar ,102857.0,F-Pace ,2449000.0,180.0,2.0,1999.0
120,2016.0,Jaguar ,,F-Pace ,3800000.0,180.0,2.0,1999.0
121,2016.0,Jaguar ,,F-Pace ,2785000.0,300.0,3.0,2993.0
122,2018.0,Jaguar ,19500.0,F-Pace ,3770000.0,380.0,3.0,2995.0
123,2020.0,Jaguar ,0.0,F-Pace ,5533000.0,249.0,2.0,1997.0
124,2017.0,Jaguar ,45647.0,F-Pace ,2810000.0,180.0,2.0,1999.0
125,2020.0,Jaguar ,0.0,F-Pace ,5315000.0,249.0,2.0,1997.0
126,2016.0,Jaguar ,,F-Pace ,2699000.0,380.0,3.0,2995.0
127,2016.0,Jaguar ,63353.0,F-Pace ,2659000.0,180.0,2.0,1999.0
128,2018.0,Jaguar ,30300.0,F-Pace ,3400000.0,180.0,2.0,1999.0
129,2019.0,Jaguar ,12774.0,F-Pace ,3871000.0,249.0,2.0,1997.0
130,2016.0,Jaguar ,31281.0,F-Pace ,3399000.0,300.0,3.0,2993.0
131,2020.0,Jaguar ,0.0,F-Pace ,5466000.0,240.0,2.0,1999.0
132,2020.0,Volkswagen ,,Caravelle ,4364800.0,199.0,2.0,1968.0
133,2020.0,Volkswagen ,,Caravelle ,3899200.0,199.0,2.0,1968.0
134,2020.0,Volkswagen ,29256.0,Caravelle ,3599000.0,150.0,2.0,1968.0
135,2020.0,Volkswagen ,0.0,Caravelle ,4074600.0,199.0,2.0,1968.0
136,2020.0,Volkswagen ,0.0,Caravelle ,3465500.0,150.0,2.0,1968.0
137,2020.0,Volkswagen ,0.0,Caravelle ,3881500.0,199.0,2.0,1968.0
