,type_,address,area,metro_station,metro_line,date,update_date,floor,full_floor,price
183,3-комн.кв.,"Сретенка ул, 27/29стр8",101.0,Сухаревская м.,orange,Размещено 11 марта,"сегодня, 16:32",5,6,62000000
1226,1-комн.кв.,", 1к1",30.0,Станция не указана,Ветка не указана,Размещено 1 февраля,30 марта,12,28,7597795
217,1-комн.кв.,"60-летия Октября пр-кт, 17",3.0,Академическая м.,Ветка не указана,Размещено 18 февраля,"сегодня, 10:39",33,39,19800000
1430,3-комн.кв.,"Камова ул, д.7к1",53.0,Станция не указана,Ветка не указана,Размещено 29 декабря 2021,"сегодня, 00:33",11,17,9452419
956,1-комн.кв.,"Радужная ул, 4",33.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12,6519319
313,1-комн.кв.,"Балаклавский пр-кт, 15В",56.0,Чертановская м.,gray,Размещено 23 марта,28 марта,18,19,14200000
1516,2-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 24 ноября 2021,"сегодня, 00:22",12,17,7793512
50,1-комн.кв.,"Удальцова ул, 12",33.0,Пр-т Вернадского м.,Ветка не указана,Размещено 27 февраля,26 марта,8,10,15200000
630,2-комн.кв.,", 1",5.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:11",17,17,10885309
1050,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",34.0,Бунинская аллея м.,cyan,Размещено 15 февраля,"сегодня, 00:33",9,11,7995788
933,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",14,28,11619036
999,3-комн.кв.,"Радужная ул, 4",5.0,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",9,12,7675384
1333,1-комн.кв.,", 1",36.0,Станция не указана,Ветка не указана,Размещено 4 января,"сегодня, 00:11",10,15,6703936
627,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:30",10,17,10637618
687,3-комн.кв.,"Зорге ул, 9к1",65.0,Полежаевская м.,purple,Размещено 17 марта,"сегодня, 10:03",7,21,31015300
1242,2-комн.кв.,", 1",41.0,Станция не указана,Ветка не указана,Размещено 15 января,"сегодня, 00:34",8,17,6282562
397,1-комн.кв.,"Алма-Атинская ул, 10к1",39.0,Алма-Атинская м.,green,Размещено 15 февраля,"сегодня, 16:02",6,14,10090000
801,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",40.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:19",11,15,9157717
1047,1-комн.кв.,", 1к1",30.0,Станция не указана,Ветка не указана,Размещено 15 февраля,"сегодня, 00:39",14,28,7883166
833,2-комн.кв.,"Радужная ул, 4",41.0,Станция не указана,Ветка не указана,Размещено 1 марта,"сегодня, 00:21",7,12,6427219
1391,1-комн.кв.,"Недорубова ул, 32",36.0,Некрасовка м.,purpledark,Размещено 11 декабря 2021,"сегодня, 00:30",3,23,10055896
250,1-комн.кв.,"Академика Янгеля ул, 6кА",40.0,Ул.Академика Янгеля м.,gray,Размещено 16 декабря 2021,"сегодня, 10:39",2,16,14500000
363,1-комн.кв.,"Маршала Савицкого ул, 26",4.0,Аннино м.,gray,Размещено 4 марта,28 марта,10,17,8700000
614,1-комн.кв.,"Радужная ул, 4",33.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:23",6,12,6454164
81,3-комн.кв.,"Аптекарский пер, 13",80.0,Бауманская м.,blue,Размещено 26 мая 2015,26 марта,1,5,23000000
1526,2-комн.кв.,"Недорубова ул, 32",49.0,Некрасовка м.,purpledark,Размещено 06 ноября 2021,"сегодня, 00:11",17,17,13191508
1592,1-комн.кв.,"Недорубова ул, 32",3.0,Некрасовка м.,purpledark,Размещено 28 октября 2021,"сегодня, 00:16",11,22,9744524
1044,2-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12,6552140
1104,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",26,28,9305117
1479,3-комн.кв.,", 1к1",69.0,Станция не указана,Ветка не указана,Размещено 09 ноября 2021,"сегодня, 00:14",25,28,14965471
1222,2-комн.кв.,", 2",36.0,Станция не указана,Ветка не указана,Размещено 18 января,"сегодня, 00:35",13,15,8232645
75,3-комн.кв.,"Армавирская ул, 25",51.0,Люблино м.,lightgreen,Размещено 22 марта,"сегодня, 13:07",1,5,16700000
1586,2-комн.кв.,"Камова ул, д.7к1",4.0,Станция не указана,Ветка не указана,Размещено 23 октября 2021,"сегодня, 00:19",15,17,8794505
307,1-комн.кв.,"Зоологическая ул, 32",30.0,Маяковская м.,Ветка не указана,Размещено 24 марта,"сегодня, 10:39",4,9,18700000
1276,1-комн.кв.,", 1к1",6.0,Станция не указана,Ветка не указана,Размещено 2 февраля,"сегодня, 00:38",25,31,7469364
583,2-комн.кв.,", 7",36.0,Станция не указана,Ветка не указана,Размещено 26 марта,30 марта,9,17,7758401
895,2-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:42",9,17,7736397
414,3-комн.кв.,"Алтуфьевское ш, 24В",63.0,Отрадное м.,gray,Размещено 4 февраля,"сегодня, 10:39",11,12,15400000
941,2-комн.кв.,"Недорубова ул, 32",47.0,Некрасовка м.,purpledark,Размещено 23 февраля,"сегодня, 00:39",12,19,12340224
668,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:21",15,17,10699257
1095,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",24,28,9212945
590,2-комн.кв.,"Радужная ул, 4",54.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:14",6,12,7612303
16,2-комн.кв.,"Летчика Грицевца ул, 6",55.0,Рассказовка м.,yellow,"сегодня, 07:39","сегодня, 07:39",5,14,14500000
1378,2-комн.кв.,", 1",35.0,Станция не указана,Ветка не указана,Размещено 18 января,30 марта,12,17,5612439
32,1-комн.кв.,"Полярная ул, 32к2",38.0,Медведково м.,orange,Размещено 12 февраля,"сегодня, 10:39",2,22,11200000
608,2-комн.кв.,", 7",47.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:22",9,17,9421672
481,1-комн.кв.,"Марьиной Рощи 4-я ул, 12с1",43.0,Марьина роща м.,lightgreen,Размещено 05 октября 2021,26 марта,50,55,18308360
845,1-комн.кв.,", 1",35.0,Станция не указана,Ветка не указана,Размещено 1 марта,"сегодня, 00:20",4,17,5871627
596,2-комн.кв.,"Радужная ул, 4",54.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:39",9,12,7667451
772,3-комн.кв.,", 3",54.0,Станция не указана,Ветка не указана,Размещено 5 марта,"сегодня, 00:40",9,17,7485887
498,2-комн.кв.,", 3",47.0,Станция не указана,Ветка не указана,"сегодня, 00:03","сегодня, 00:03",4,17,7235624
389,2-комн.кв.,"Зорге ул, 18к2",9.0,Зорге м.,Ветка не указана,Размещено 20 февраля,"сегодня, 10:39",6,8,31000000
1407,2-комн.кв.,", 1",35.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:30",12,17,5688773
228,2-комн.кв.,"Щербаковская ул, 57/20",57.0,"Измайлово,Партизанская,Семёновская,Соколиная гора",Ветка не указана,Размещено 2 февраля,26 марта,4,10,16000000
1020,3-комн.кв.,"Радужная ул, 4",79.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,9327917
1450,1-комн.кв.,"Камова ул, д.7к1",33.0,Станция не указана,Ветка не указана,Размещено 20 ноября 2021,"сегодня, 00:13",17,17,4915526
254,2-комн.кв.,"Авиаконструктора Миля ул, 26",65.0,Котельники м.,purple,Размещено 15 декабря 2021,"сегодня, 10:39",19,25,16800000
1611,2-комн.кв.,"Недорубова ул, 32",66.0,Некрасовка м.,purpledark,Размещено 28 октября 2021,"сегодня, 00:24",16,17,15268794
880,2-комн.кв.,"Радужная ул, 4",49.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,7168494
600,3-комн.кв.,", 1",5.0,Станция не указана,Ветка не указана,Размещено 26 марта,30 марта,12,17,7569355
989,2-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",11,11,7757235
140,3-комн.кв.,"Недорубова ул, 18к1",80.0,Лермонтовский пр-т м.,purple,"сегодня, 10:02","сегодня, 10:02",23,25,19500000
1243,3-комн.кв.,", 1",56.0,Станция не указана,Ветка не указана,Размещено 29 января,"сегодня, 00:37",7,12,8651035
450,3-комн.кв.,"Южнобутовская ул, 76",78.0,Бунинская аллея м.,cyan,Размещено 15 декабря 2021,"сегодня, 10:39",11,12,17000000
